2061;master's degree;118989;3.9;3.5;4
2028;high school;35836;3.6;3.3;9
1907;high school;59330;3.6;2.9;9
1862;high school;57643;3.5;3.1;5
1887;associate's degree;78450;3.5;3.4;4
1848;high school;81577;3.4;3.4;4
1908;some college;35642;3.5;3.2;8
2191;some college;61567;4.0;3.2;5
2008;some high school;54647;3.8;3.0;5
1722;some high school;31233;3.1;2.7;10
1938;some college;75639;3.6;3.1;5
1983;high school;51832;3.6;3.1;6
1951;master's degree;91178;3.7;3.8;4
2096;some college;75559;4.0;3.5;4
2009;some college;76925;3.8;3.7;4
1971;high school;65163;3.6;3.5;4
1698;some high school;21693;3.1;2.8;6
1876;some college;60782;3.5;3.3;4
1809;high school;53205;3.2;3.0;5
1693;some high school;67457;3.1;3.2;5
1857;high school;90919;3.5;3.3;4
2120;master's degree;84474;4.0;3.5;4
2150;master's degree;90677;3.9;3.7;4
2018;some high school;37103;3.7;2.9;6
2349;master's degree;96281;4.0;3.6;5
1806;high school;42594;3.2;3.3;5
2042;high school;53314;3.8;3.4;6
2230;some college;87672;4.0;3.6;5
2011;master's degree;87878;3.7;3.6;3
2032;high school;56946;3.9;3.5;4
1965;some high school;58196;3.6;3.2;4
2213;associate's degree;63353;4.0;3.4;5
1850;master's degree;94537;3.4;3.4;4
1763;some high school;52691;3.2;2.9;7
1858;associate's degree;70951;3.5;3.4;4
2021;some college;66483;3.8;3.4;4
2093;associate's degree;84406;3.9;3.2;9
1967;some college;92666;3.7;3.5;4
2029;bachelor's degree;86592;3.8;3.4;6
1910;associate's degree;64312;3.5;3.2;4
2002;high school;39052;3.8;3.0;8
1708;some high school;62473;3.0;3.2;4
1944;some college;66367;3.7;3.7;3
1823;high school;73136;3.3;3.6;3
1965;high school;50732;3.7;3.1;5
1949;some college;57523;3.8;3.3;5
1956;some college;89273;3.5;3.4;4
1822;high school;64070;3.3;3.2;4
2055;high school;64220;3.9;3.5;4
1921;some high school;41526;3.6;3.4;4
2252;associate's degree;85873;4.0;3.3;8
1787;some high school;80078;3.2;3.0;7
2130;associate's degree;65608;4.0;3.8;3
1756;high school;82890;3.1;3.2;4
1876;some high school;26765;3.5;3.0;6
1832;some college;74517;3.2;2.8;5
1887;some high school;70911;3.5;3.6;3
2028;high school;34307;4.0;3.4;5
2071;associate's degree;76588;4.0;3.5;4
2262;high school;67931;4.0;3.9;3
1864;some high school;69374;3.3;3.2;4
2171;bachelor's degree;74624;4.0;3.6;6
1915;some college;47708;3.4;3.3;5
2110;some college;86905;4.0;3.7;4
1730;some college;79088;3.1;3.2;4
1770;some high school;67819;3.2;2.9;5
1880;high school;48219;3.4;3.2;5
1632;some college;86108;3.0;3.2;4
1894;some college;64409;3.6;3.2;8
1979;some college;46444;3.7;3.2;6
1851;bachelor's degree;63769;3.4;3.2;4
2097;associate's degree;69144;3.9;3.2;6
1937;associate's degree;77075;3.7;3.1;5
1918;associate's degree;84055;3.5;3.1;5
2111;associate's degree;72953;4.0;3.3;5
2098;associate's degree;64111;4.0;3.2;6
2008;bachelor's degree;98627;3.7;3.6;3
2069;associate's degree;56945;3.9;3.4;4
1806;high school;39618;3.2;3.0;6
1796;high school;83890;3.4;3.4;4
2207;master's degree;85878;4.0;3.6;4
1782;some high school;46944;3.2;3.1;5
2086;some college;51907;3.9;3.1;5
1681;some college;56351;3.0;3.4;3
2141;associate's degree;80407;4.0;3.6;4
1982;high school;36619;3.8;3.3;8
2033;associate's degree;83212;3.7;3.7;3
2244;associate's degree;78061;4.0;3.6;4
1982;associate's degree;70118;3.7;3.4;5
2238;some college;74347;4.0;3.9;3
1694;associate's degree;80617;3.0;3.3;4
1971;high school;61184;3.6;3.3;4
1848;high school;48558;3.4;3.3;5
1800;associate's degree;84093;3.3;3.2;4
2129;high school;52549;3.9;3.3;4
1910;high school;44729;3.8;3.3;5
2238;master's degree;72474;4.0;3.8;3
2363;master's degree;77473;4.0;3.3;5
2143;high school;56364;4.0;3.6;3
2134;bachelor's degree;72768;4.0;3.4;5
1895;some high school;46295;3.5;3.4;4
2013;some high school;49006;3.9;3.1;7
1943;some high school;33333;3.5;3.3;5
2004;master's degree;90072;3.8;3.6;4
1967;high school;85359;3.9;3.7;5
2225;associate's degree;81539;4.0;3.5;4
2171;master's degree;58603;4.0;3.6;4
1853;high school;72142;3.5;3.1;5
2092;bachelor's degree;80059;3.9;3.3;4
1901;bachelor's degree;79227;3.5;3.0;6
2226;high school;53749;4.0;3.7;5
2193;bachelor's degree;71108;4.0;3.5;4
2251;associate's degree;82072;4.0;3.8;3
2075;high school;34111;3.9;3.2;6
2031;associate's degree;63286;3.8;3.2;7
1918;high school;62234;3.5;3.2;5
2035;some college;80320;3.9;3.6;5
2005;high school;52549;3.7;3.6;7
1930;some high school;42407;3.7;3.1;5
1985;high school;52614;3.7;3.5;3
2015;some college;82577;4.0;3.4;6
1737;some college;79784;3.3;2.9;7
2160;high school;38335;4.0;3.8;4
2076;some high school;31912;4.0;3.3;5
1959;some college;63813;3.7;3.3;5
2007;bachelor's degree;66357;3.9;3.4;4
2021;associate's degree;59004;3.9;3.3;5
2050;some high school;76968;3.9;3.5;4
2067;high school;35618;3.8;3.3;7
2385;master's degree;80609;4.0;3.6;4
1988;some high school;59903;3.8;3.5;5
2314;master's degree;100428;4.0;3.8;4
2126;some high school;66851;3.9;3.3;5
2083;bachelor's degree;81636;4.0;3.6;4
2298;some college;59984;4.0;3.5;4
1850;associate's degree;44588;3.5;3.5;4
2121;master's degree;89924;4.0;3.4;6
1808;some high school;49546;3.3;3.4;6
1941;high school;75373;3.7;3.3;4
1927;some high school;43886;3.5;3.4;4
2040;master's degree;85883;3.8;3.3;6
1965;some high school;53011;3.6;3.1;5
2032;some high school;31567;3.8;3.0;6
2144;associate's degree;75148;4.0;3.4;6
1893;high school;73083;3.5;3.2;8
1993;associate's degree;67003;3.9;3.4;4
2126;bachelor's degree;81538;4.0;3.5;6
2083;some high school;50718;4.0;3.2;5
2018;some college;56317;3.9;3.2;6
2049;master's degree;84720;4.0;3.8;5
1818;some college;55436;3.1;3.3;4
1977;associate's degree;61542;3.6;3.3;4
1950;some high school;42932;3.7;3.3;5
2146;high school;51450;4.0;3.6;3
1809;some college;53982;3.3;3.0;5
1875;some college;50275;3.4;3.3;6
1729;some college;84008;3.1;3.2;4
2133;associate's degree;68917;4.0;3.3;6
1959;some college;64516;3.7;3.5;3
1895;some high school;39502;3.5;3.1;7
2026;high school;53769;3.8;3.2;6
1956;high school;25617;3.7;3.0;6
2089;some college;56364;4.0;3.2;5
2349;master's degree;109654;4.0;3.8;4
1981;some college;59565;3.8;3.3;4
1911;associate's degree;59688;3.5;3.3;4
2205;high school;60466;4.0;3.6;4
1929;some college;81427;3.5;3.2;4
1869;master's degree;87517;3.3;3.3;5
2204;bachelor's degree;50665;4.0;3.4;4
2150;high school;40013;4.0;3.4;6
1897;master's degree;97789;3.6;3.7;3
2079;associate's degree;61450;4.0;3.6;4
1960;some college;77952;3.8;2.9;8
1958;some college;70174;3.6;3.6;3
1965;high school;51953;3.5;3.5;3
1943;bachelor's degree;82909;3.6;3.4;7
1956;some college;64730;3.5;3.1;6
1892;associate's degree;65464;3.6;3.4;5
1783;high school;43626;3.1;3.0;6
2032;some college;43995;4.0;3.2;6
2073;some high school;66481;3.8;3.1;5
2318;bachelor's degree;52589;4.0;3.4;5
2084;bachelor's degree;83638;3.9;3.3;5
1860;some high school;64459;3.6;2.9;8
1900;high school;68541;3.4;3.3;4
2059;associate's degree;71283;4.0;3.8;3
2065;bachelor's degree;93133;3.8;3.2;5
1994;associate's degree;56549;3.7;3.7;4
1826;bachelor's degree;84786;3.3;3.2;4
1888;some college;67528;3.5;3.3;4
2259;master's degree;110514;4.0;4.0;4
2006;some high school;79454;3.9;3.6;6
1899;associate's degree;72260;3.5;3.2;4
2125;some college;91690;4.0;3.4;5
2148;associate's degree;103454;4.0;3.9;4
1908;some college;79534;3.5;3.2;5
2048;some college;50812;4.0;3.2;7
1918;some college;82517;3.6;3.4;4
2222;high school;65458;4.0;3.6;4
1801;some high school;33454;3.3;2.8;6
2059;some high school;44034;4.0;3.4;5
1858;some college;26848;3.3;3.1;6
2024;bachelor's degree;84455;3.9;3.5;4
1982;high school;75946;3.8;3.3;4
2298;associate's degree;63096;4.0;3.5;7
1907;associate's degree;80839;3.5;3.1;5
2026;master's degree;108037;3.9;3.4;8
2150;high school;48393;4.0;3.5;5
2116;some high school;49348;4.0;3.4;5
1884;high school;44485;3.4;3.3;5
2079;master's degree;98252;4.0;3.6;6
2143;some college;80679;3.9;3.4;5
2282;master's degree;83338;4.0;3.3;5
1873;some high school;55105;3.3;3.3;6
2155;associate's degree;85153;4.0;3.4;9
1964;high school;39663;3.6;3.3;6
1763;some high school;63280;3.2;3.1;7
2193;some college;48459;4.0;3.0;7
2115;associate's degree;59131;4.0;3.5;6
2108;high school;86692;4.0;4.0;3
1817;some high school;48466;3.3;3.2;9
2164;high school;74259;4.0;3.5;4
2282;bachelor's degree;48097;4.0;3.6;7
2169;master's degree;97545;4.0;3.5;5
1861;associate's degree;68765;3.4;3.3;4
2126;high school;71585;4.0;3.0;6
1889;some high school;64787;3.4;3.2;4
2219;associate's degree;83758;4.0;3.7;4
1965;associate's degree;78461;3.7;3.3;4
2225;associate's degree;77779;4.0;3.9;4
1910;some high school;66871;3.7;3.2;7
2129;some college;40394;4.0;3.1;6
1968;high school;46521;3.7;3.3;5
1983;associate's degree;62703;3.5;3.5;4
1834;some high school;79630;3.2;3.4;4
1897;high school;81054;3.5;3.5;6
2323;master's degree;89141;4.0;3.7;4
2098;some college;42566;4.0;3.3;8
1887;associate's degree;63006;3.5;3.2;6
2044;associate's degree;94412;3.9;3.8;7
1852;some high school;55093;3.5;3.1;6
2155;high school;18906;4.0;3.5;8
1988;bachelor's degree;81961;3.7;3.4;6
2109;bachelor's degree;98623;4.0;3.6;4
2204;high school;61916;4.0;3.6;6
1981;bachelor's degree;72572;3.7;3.6;3
1750;high school;78459;3.3;3.5;4
1908;some high school;54293;3.5;3.2;5
1865;some high school;40267;3.4;2.9;8
2000;high school;75673;3.9;3.4;6
2102;some college;85721;4.0;3.5;6
1945;high school;48537;3.5;3.3;6
1927;high school;58702;3.6;3.3;4
2000;bachelor's degree;70816;3.7;3.3;6
2118;some college;68920;4.0;3.3;5
2204;some college;73901;4.0;3.7;5
2123;master's degree;82476;4.0;3.6;4
1885;some high school;54088;3.6;3.0;5
2015;high school;96832;3.6;3.4;6
2374;bachelor's degree;50925;4.0;3.8;3
2085;bachelor's degree;38866;4.0;3.3;5
1817;some college;92025;3.3;3.6;4
1976;high school;57798;3.7;3.5;4
2033;master's degree;77510;3.9;3.3;4
2074;high school;43020;3.8;3.1;6
2246;some college;57397;4.0;3.1;5
2028;some high school;68442;3.8;3.4;8
1757;some high school;48225;3.1;3.3;4
1804;high school;72775;3.1;2.9;5
1899;high school;57917;3.3;3.2;5
1968;associate's degree;78025;3.6;3.5;5
2023;some college;63872;3.9;3.6;4
1896;master's degree;92667;3.5;3.6;3
2233;some college;60098;4.0;3.4;4
1849;some college;29641;3.5;2.9;6
2250;some college;75126;4.0;3.7;7
1819;high school;56416;3.3;3.4;5
2157;associate's degree;51253;4.0;3.7;3
2177;associate's degree;75373;4.0;3.4;5
1850;some college;62873;3.3;3.2;4
2165;high school;84996;4.0;3.6;5
2054;bachelor's degree;88598;3.8;3.3;5
1738;high school;66814;3.2;3.2;6
2166;bachelor's degree;72184;4.0;3.3;4
2039;bachelor's degree;76601;3.9;3.6;6
2018;some college;72571;3.9;3.4;4
1901;associate's degree;64516;3.4;3.5;3
1894;some high school;57339;3.7;3.2;4
1900;associate's degree;71645;3.6;3.4;4
2071;bachelor's degree;83717;3.9;3.5;4
2213;associate's degree;63932;4.0;3.6;5
2137;bachelor's degree;80557;4.0;2.8;7
2035;associate's degree;83803;4.0;3.7;4
2068;some high school;67571;3.8;3.4;6
1938;high school;56982;3.8;3.4;5
1786;associate's degree;60544;3.2;3.1;7
2006;high school;38779;3.8;3.2;5
2042;some college;35706;3.9;3.2;5
2126;master's degree;112920;4.0;3.5;5
2207;bachelor's degree;77114;4.0;3.3;5
1846;some college;77271;3.4;3.4;8
2163;some college;76445;4.0;3.3;5
1924;some high school;44724;3.6;2.9;6
1985;bachelor's degree;65944;3.8;3.3;4
2149;high school;53977;4.0;3.6;5
2112;bachelor's degree;97815;4.0;3.4;6
2080;some college;63996;4.0;3.6;3
2155;associate's degree;62304;4.0;3.4;5
1837;high school;71226;3.4;3.2;5
2002;bachelor's degree;79155;3.8;3.1;7
2242;high school;89887;4.0;3.8;4
2171;associate's degree;59147;4.0;3.4;5
2234;some college;30658;4.0;3.0;10
1930;some college;59443;3.6;3.2;4
2117;associate's degree;94415;4.0;3.8;4
2034;some high school;31713;3.9;3.2;8
2268;bachelor's degree;93832;4.0;3.8;6
